# Non-linear GAIN fit to PTC data, ND, 9/6/2023
#    var(ADU) = a1*ADU + a2*ADU^a3
#    GAIN(ADU) = 1 / (a1 + a2*a3 * ADU^(a3-1))
# C: Channel and Spectrograph
# Q: Quadrant
# a_i: coefficients as above
#C Q   a1     a2        a3
b1 BL  0.376 -2.481E-06 0.942
b1 BR  0.371 -0.001267  0.187
b1 TL  0.373 -5.537E-06 0.825
b1 TR  0.376 -0.00493   0.189
b2 BL  0.366 -5.13E-06  0.801
b2 BR  0.373 -3.154E-07 1.147
b2 TL  0.459 -0.0003556 0.619
b2 TR  0.367 -1.592E-09 1.648
b3 BL  0.367 -1.337E-08 1.420
b3 BR  0.365 -2.672E-11 2.012
b3 TL  0.369 -3.082E-07 1.124
b3 TR  0.360 -2.107E-07 1.163
#
r1 BL  0.372 -1.574E-06 0.981
r1 BR  0.404 -0.0001195 0.620
r1 TL  0.371 -3.874E-07 1.109
r1 TR  0.371 -4.96E-06  0.880
r2 BL  0.356 -6.712E-15 2.959
r2 BR  0.368 -2.601E-09 1.634
r2 TL  0.370 -1.972E-05 0.587
r2 TR  0.377 -5.112E-07 1.103
r3 BL  0.364 -2.136E-06 0.932
r3 BR  0.369 -1.826E-07 1.161
r3 TL  0.365 -2.904E-08 1.355
r3 TR  0.383 -2.716E-05 0.719
#
z1 BL  0.367 -1.313E-12 2.323
z1 BR  0.368 -6.629E-10 1.798
z1 TL  0.362 -6.606E-07 1.111
z1 TR  0.360 -3.252E-09 1.647
z2 BL  0.369 -2.024E-06 1.015
z2 BR  0.359 -3.385E-07 1.191
z2 TL  0.360 -1.146E-06 1.062
z2 TR  0.350 -1.865E-07 1.240
z3 BL  0.357 -3.652E-07 1.170
z3 BR  0.360 -5.556E-07 1.136
z3 TL  0.392 -0.0004387 0.536
z3 TR  0.354 -3.31E-07  1.184
