# LVM fiducial metrology file
#
# The purpose of this file is to give fiducial positions relative to the center of an IFU
# for fibers in a given bundle.  The fiber numbering scheme here is clockwise starting
# from the center, incrementing along the vertical x=0 axis, using the Excel IFU fiber map
# schematic as guide. The data structure is as follows.
#
# Data table entries:
# 1) fiberid: Fiber number within the bundle.
# 2) ringid: Ring id number of the fiber
# 3) ringfnum: Fiber number within a ring, starting from 1, at the vertical x=0 position
# 4) raoff: The ra offset of the fiber in arcsec relative to the ifu center
# 5) decoff: The dec offset of the fiber in arcsec relative to the ifu center
#
# raoff and decoff are both given in arcseconds, so they should be added to the central pointing to get
# the effective on-sky coordinates of the fiber
# E.g., if RA=213.3423D and DEC=52.3234D in decimal degrees (ALWAYS use double precision here!)
# then RAfiber=RA+raoff/3600.D/cos(DEC*!DPI/180.)    DECfiber=DEC+decoff/3600.D
#
# Assumes that fiberdiameter=35.3 arcsec
#

fiberid,ringid,ringfnum,raoff,decoff
1,1,1,0.0,0.0
2,2,1,-0.0,37.0
3,2,2,-32.0429,18.5
4,2,3,-32.0429,-18.5
5,2,4,-0.0,-37.0
6,2,5,32.0429,-18.5
7,2,6,32.0429,18.5
8,3,1,-0.0,74.0
9,3,2,-32.0429,55.5
10,3,3,-64.0859,37.0
11,3,4,-64.0859,0.0
12,3,5,-64.0859,-37.0
13,3,6,-32.0429,-55.5
14,3,7,-0.0,-74.0
15,3,8,32.0429,-55.5
16,3,9,64.0859,-37.0
17,3,10,64.0859,0.0
18,3,11,64.0859,37.0
19,3,12,32.0429,55.5
20,4,1,-0.0,111.0
21,4,2,-32.0429,92.5
22,4,3,-64.0859,74.0
23,4,4,-96.1288,55.5
24,4,5,-96.1288,18.5
25,4,6,-96.1288,-18.5
26,4,7,-96.1288,-55.5
27,4,8,-64.0859,-74.0
28,4,9,-32.0429,-92.5
29,4,10,-0.0,-111.0
30,4,11,32.0429,-92.5
31,4,12,64.0859,-74.0
32,4,13,96.1288,-55.5
33,4,14,96.1288,-18.5
34,4,15,96.1288,18.5
35,4,16,96.1288,55.5
36,4,17,64.0859,74.0
37,4,18,32.0429,92.5
38,5,1,-0.0,148.0
39,5,2,-32.0429,129.5
40,5,3,-64.0859,111.0
41,5,4,-96.1288,92.5
42,5,5,-128.1717,74.0
43,5,6,-128.1717,37.0
