fiberid,raoff,decoff
1,0.00000,0.00000
2,-1.25000,-2.16506
3,1.25000,-2.16506
4,2.50000,0.00000
5,1.25000,2.16506
6,-1.25000,2.16506
7,-2.50000,0.00000
8,-2.50000,-4.33013
9,0.00000,-4.33013
10,2.50000,-4.33013
11,3.75000,-2.16506
12,5.00000,0.00000
13,3.75000,2.16506
14,2.50000,4.33013
15,0.00000,4.33013
16,-2.50000,4.33013
17,-3.75000,2.16506
18,-5.00000,0.00000
19,-3.75000,-2.16506
20,-3.75000,-6.49519
21,-1.25000,-6.49519
22,1.25000,-6.49519
23,3.75000,-6.49519
24,5.00000,-4.33013
25,6.25000,-2.16506
26,7.50000,0.00000
27,6.25000,2.16506
28,5.00000,4.33013
29,3.75000,6.49519
30,1.25000,6.49519
31,-1.25000,6.49519
32,-3.75000,6.49519
33,-5.00000,4.33013
34,-6.25000,2.16506
35,-7.50000,0.00000
36,-6.25000,-2.16506
37,-5.00000,-4.33013
38,-5.00000,-8.66025
39,-2.50000,-8.66025
40,0.00000,-8.66025
41,2.50000,-8.66025
42,5.00000,-8.66025
43,6.25000,-6.49519
44,7.50000,-4.33013
45,8.75000,-2.16506
46,10.0000,0.00000
47,8.75000,2.16506
48,7.50000,4.33013
49,6.25000,6.49519
50,5.00000,8.66025
51,2.50000,8.66025
52,0.00000,8.66025
53,-2.50000,8.66025
54,-5.00000,8.66025
55,-6.25000,6.49519
56,-7.50000,4.33013
57,-8.75000,2.16506
58,-10.0000,0.00000
59,-8.75000,-2.16506
60,-7.50000,-4.33013
61,-6.25000,-6.49519
62,-6.25000,-10.8253
63,-3.75000,-10.8253
64,-1.25000,-10.8253
65,1.25000,-10.8253
66,3.75000,-10.8253
67,6.25000,-10.8253
68,7.50000,-8.66025
69,8.75000,-6.49519
70,10.0000,-4.33013
71,11.2500,-2.16506
72,12.5000,0.00000
73,11.2500,2.16506
74,10.0000,4.33013
75,8.75000,6.49519
76,7.50000,8.66025
77,6.25000,10.8253
78,3.75000,10.8253
79,1.25000,10.8253
80,-1.25000,10.8253
81,-3.75000,10.8253
82,-6.25000,10.8253
83,-7.50000,8.66025
84,-8.75000,6.49519
85,-10.0000,4.33013
86,-11.2500,2.16506
87,-12.5000,0.00000
88,-11.2500,-2.16506
89,-10.0000,-4.33013
90,-8.75000,-6.49519
91,-7.50000,-8.66025
92,-7.50000,-12.9904
93,-5.00000,-12.9904
94,-2.50000,-12.9904
95,0.00000,-12.9904
96,2.50000,-12.9904
97,5.00000,-12.9904
98,7.50000,-12.9904
99,8.75000,-10.8253
100,10.0000,-8.66025
101,11.2500,-6.49519
102,12.5000,-4.33013
103,13.7500,-2.16506
104,15.0000,0.00000
105,13.7500,2.16506
106,12.5000,4.33013
107,11.2500,6.49519
108,10.0000,8.66025
109,8.75000,10.8253
110,7.50000,12.9904
111,5.00000,12.9904
112,2.50000,12.9904
113,0.00000,12.9904
114,-2.50000,12.9904
115,-5.00000,12.9904
116,-7.50000,12.9904
117,-8.75000,10.8253
118,-10.0000,8.66025
119,-11.2500,6.49519
120,-12.5000,4.33013
121,-13.7500,2.16506
122,-15.0000,0.00000
123,-13.7500,-2.16506
124,-12.5000,-4.33013
125,-11.2500,-6.49519
126,-10.0000,-8.66025
127,-8.75000,-10.8253
